Date,value
1604491200000,0.15487000
1604505600000,0.15649000
1604520000000,0.14583000
1604534400000,0.13880000
1604548800000,0.13323000
1604563200000,0.13600000
1604577600000,0.13400000
1604592000000,0.13791000
1604606400000,0.13450000
1604620800000,0.12829000
1604635200000,0.12335000
1604649600000,0.13299000
1604664000000,0.13675000
1604678400000,0.14244000
1604692800000,0.14400000
1604707200000,0.15308000
1604721600000,0.16424000
1604736000000,0.15837000
1604750400000,0.14409000
1604764800000,0.13799000
1604779200000,0.14076000
1604793600000,0.15204000
1604808000000,0.17225000
1604822400000,0.20812000
1604836800000,0.20099000
1604851200000,0.20920000
1604865600000,0.19846000
1604880000000,0.21034000
1604894400000,0.27497000
1604908800000,0.26924000
1604923200000,0.27100000
1604937600000,0.30145000
1604952000000,0.27978000
1604966400000,0.33792000
1604980800000,0.34355000
1604995200000,0.32651000
1605009600000,0.27479000
1605024000000,0.28220000
1605038400000,0.26968000
1605052800000,0.32714000
1605067200000,0.36948000
1605081600000,0.36100000
1605096000000,0.38218000
1605110400000,0.39794000
1605124800000,0.35400000
1605139200000,0.35614000
1605153600000,0.34801000
1605168000000,0.35001000
1605182400000,0.32479000
1605196800000,0.33231000
1605211200000,0.31331000
1605225600000,0.33619000
1605240000000,0.36787000
1605254400000,0.35826000
1605268800000,0.35800000
1605283200000,0.40015000
1605297600000,0.39400000
1605312000000,0.40868000
1605326400000,0.42820000
1605340800000,0.43010000
1605355200000,0.46533000
1605369600000,0.58100000
1605384000000,0.56557000
1605398400000,0.54581000
1605412800000,0.51801000
1605427200000,0.58502000
1605441600000,0.62500000
1605456000000,0.63364000
1605470400000,0.59068000
1605484800000,0.64832000
1605499200000,0.64256000
1605513600000,0.59659000
1605528000000,0.59005000
1605542400000,0.59694000
1605556800000,0.55918000
1605571200000,0.54850000
1605585600000,0.56150000
1605600000000,0.58561000
1605614400000,0.47320000
1605628800000,0.49400000
1605643200000,0.50246000
1605657600000,0.48468000
1605672000000,0.48153000
1605686400000,0.46801000
1605700800000,0.46349000
1605715200000,0.54688000
1605729600000,0.51614000
1605744000000,0.53701000
1605758400000,0.49332000
1605772800000,0.47924000
1605787200000,0.47577000
1605801600000,0.46682000
1605816000000,0.43821000
1605830400000,0.46755000
1605844800000,0.48800000
1605859200000,0.50994000
1605873600000,0.48205000
1605888000000,0.49828000
1605902400000,0.49888000
1605916800000,0.49498000
1605931200000,0.50991000
1605945600000,0.49186000
1605960000000,0.48596000
1605974400000,0.48287000
1605988800000,0.46800000
1606003200000,0.44401000
1606017600000,0.44100000
1606032000000,0.40905000
1606046400000,0.42054000
1606060800000,0.45104000
1606075200000,0.42719000
1606089600000,0.45500000
1606104000000,0.49700000
1606118400000,0.50298000
1606132800000,0.53283000
1606147200000,0.51000000
1606161600000,0.51082000
1606176000000,0.48661000
1606190400000,0.48124000
1606204800000,0.46527000
1606219200000,0.46220000
1606233600000,0.48201000
1606248000000,0.47772000
1606262400000,0.44324000
1606276800000,0.45508000
1606291200000,0.45998000
1606305600000,0.45910000
1606320000000,0.44397000
1606334400000,0.41597000
1606348800000,0.35600000
1606363200000,0.34523000
1606377600000,0.34905000
1606392000000,0.34192000
1606406400000,0.33675000
1606420800000,0.37014000
1606435200000,0.35514000
1606449600000,0.35434000
1606464000000,0.34316000
1606478400000,0.34770000
1606492800000,0.35643000
1606507200000,0.37727000
1606521600000,0.37845000
1606536000000,0.39800000
1606550400000,0.41517000
1606564800000,0.43355000
1606579200000,0.43036000
1606593600000,0.42823000
1606608000000,0.43684000
1606622400000,0.46409000
1606636800000,0.45666000
1606651200000,0.47922000
1606665600000,0.46389000
1606680000000,0.47698000
1606694400000,0.46069000
1606708800000,0.44000000
1606723200000,0.44272000
1606737600000,0.44388000
1606752000000,0.44587000
1606766400000,0.45670000
1606780800000,0.44494000
1606795200000,0.46095000
1606809600000,0.45758000
1606824000000,0.42607000
1606838400000,0.41924000
1606852800000,0.41194000
1606867200000,0.42058000
1606881600000,0.43166000
1606896000000,0.44272000
1606910400000,0.45356000
1606924800000,0.48741000
1606939200000,0.49817000
1606953600000,0.51900000
1606968000000,0.51150000
1606982400000,0.50476000
1606996800000,0.51981000
1607011200000,0.52074000
1607025600000,0.51208000
1607040000000,0.47698000
1607054400000,0.48696000
1607068800000,0.45702000
1607083200000,0.47080000
1607097600000,0.47330000
1607112000000,0.43118000
1607126400000,0.43709000
1607140800000,0.44660000
1607155200000,0.47280000
1607169600000,0.48305000
1607184000000,0.47618000
1607198400000,0.47600000
1607212800000,0.45635000
1607227200000,0.45801000
1607241600000,0.45152000
1607256000000,0.45230000
1607270400000,0.46401000
1607284800000,0.47941000
